公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
深圳斯达领科网络科技有限公司,斯达领科,150-500人,未融资,龙岗区,数据分析,应届毕业生,大专,4k-6k,"年度旅游,年终奖,节假日福利,活力团队"
广州市启畅金属制品有限公司,广州市启畅金属制品有限公司,150-500人,不需要融资,宝安区,高级数据分析,3-5年,本科,25k-40k,"大平台,高薪资,好氛围,双休"
深圳市前海帕拓逊网络技术有限公司,帕拓逊,500-2000人,不需要融资,龙岗区,数据分析师,不限,本科,10k-20k,"薪酬高,福利好,平台大,领导耐撕"
思迪软件科技（深圳）有限公司,SDL,500-2000人,上市公司,龙岗区,数据分析员,1-3年,本科,8k-10k,名企
深圳市辣妈帮科技有限公司,辣妈帮,500-2000人,D轮及以上,南山区,数据分析工程师,1-3年,本科,10k-15k,"成长快速,大牛团队,年终丰厚,花式福利"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,mig -- 数据分析师,3-5年,本科,18k-36k,大平台
北京海伦品牌管理股份有限公司,Helens,500-2000人,不需要融资,南山区,数据分析师,1-3年,本科,20k-22k,"期权分红,十三薪,环境好,福利多"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,数据分析师\主管,1-3年,本科,10k-20k,五险一金，年终奖金，员工旅游，定期体检
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,高级数据分析经理,3-5年,本科,15k-25k,"精英团队,成长空间,薪酬福利,外企文化"
深圳市彬讯科技有限公司,土巴兔,2000人以上,C轮,南山区,数据分析师（高级）,5-10年,本科,20k-40k,"节日福利,五险一金,绩效奖金,带薪年假"
生命人寿保险股份有限公司,富德生命人寿总公司电子商务中心,2000人以上,D轮及以上,福田区,数据分析,1-3年,本科,8k-13k,"发展空间大,扁平化管理,工资福利优,氛围活跃"
深圳世联行地产顾问股份有限公司,世联行,2000人以上,上市公司,罗湖区,数据分析岗,不限,本科,5k-8k,公司平台大，发展前景好
深圳市康恩诺科技有限公司,康恩诺,2000人以上,不需要融资,福田区,资深数据分析经理,5-10年,本科,45k-90k,管理岗
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,南山区,【急招】数据分析师(实习生)-美图秀秀App,不限,本科,3k-5k,"海量用户,明星产品,大牛导师,学习空间大"
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,高级数据分析师,3-5年,本科,20k-40k,核心事业群 千万级日活 氛围好 组织扁平
深圳微品致远信息科技有限公司,中兴微品,150-500人,C轮,南山区,数据分析专员,1-3年,大专,8k-10k,带薪年假 定期体检 弹性工作 五险一金
深圳市联众食品有限公司,井和冷链,500-2000人,不需要融资,宝安区,数据分析实习生,不限,大专,3k-5k,"学习机会多,发展空间广"
深圳碳原子科技有限公司,SEE小电铺,50-150人,C轮,南山区,数据分析师,1-3年,本科,10k-20k,数据分析
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,高级数据分析经理-市场数据,5-10年,本科,15k-25k,精英团队
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,高级数据分析师,5-10年,本科,15k-30k,"准上市公司,发展空间大,平台稳定"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,高级数据分析工程师,3-5年,本科,15k-30k,"弹性上班,餐补,五险一金,发展空间大"
