公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
深圳微众税银信息服务有限公司,微众税银,50-150人,B轮,南山区,开发工程师-JAVA/R/Python,3-5年,本科,10k-20k,"年终双薪,年终分红,福利好,技术新","['3', '5']",4.0,"['10', '20']",12.5
北京千锋互联科技有限公司,千锋教育,500-2000人,A轮,宝安区,Python讲师,3-5年,大专,15k-30k,"五险一金,五天八小时,旅游,晋升","['3', '5']",4.0,"['15', '30']",18.75
深圳市安络科技有限公司,深圳市安络科技有限公司,150-500人,未融资,南山区,Python开发工程师,3-5年,大专,10k-20k,"五险一金,员工旅游,带薪年假,法定节假","['3', '5']",4.0,"['10', '20']",12.5
深圳市瑞驰信息技术有限公司,瑞驰信息,50-150人,A轮,南山区,python开发工程师,1-3年,大专,6k-12k,"两次调薪,股权激励,双休,年终奖","['1', '3']",2.0,"['6', '12']",7.5
深圳市世纪华凯实业有限公司,华凯,50-150人,不需要融资,南山区,高级python工程师,3-5年,本科,25k-35k,"大平台,准上市公司,不加班,弹性","['3', '5']",4.0,"['25', '35']",27.5
深圳点猫科技有限公司,编程猫,500-2000人,B轮,南山区,教材研发——Python,1-3年,本科,8k-15k,"能撸猫,氛围好,二次元,有餐补","['1', '3']",2.0,"['8', '15']",9.75
清影医疗科技(深圳)有限公司,清影医疗,50-150人,天使轮,盐田区,Python后端工程师,3-5年,本科,15k-25k,"人工智能,智慧医疗,五险一金,扁平化","['3', '5']",4.0,"['15', '25']",17.5
深圳市编玩边学教育科技有限公司,编玩边学,50-150人,B轮,南山区,代码编程老师（Python）,不限,本科,8k-15k,"五险一金,节日福利,餐饮补贴,运动健身",[],0.0,"['8', '15']",9.75
岩心科技（深圳）有限公司,AKULAKU,150-500人,B轮,南山区,Python后台开发/数据平台/Senior,3-5年,本科,15k-30k,"牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇","['3', '5']",4.0,"['15', '30']",18.75
深圳海链科技有限公司,海链科技,50-150人,A轮,南山区,Python 后台工程师,3-5年,本科,20k-35k,"腾讯系,技术导向,福利好","['3', '5']",4.0,"['20', '35']",23.75
深圳市百答科技有限公司,深圳市百答科技有限公司,50-150人,不需要融资,南山区,Python开发工程师,1-3年,本科,6k-12k,"互联网大咖,行业有前景,技术大牛","['1', '3']",2.0,"['6', '12']",7.5
深圳市木浪云数据有限公司,木浪云,15-50人,天使轮,南山区,Python,3-5年,本科,10k-15k,"与牛人共事,发展空间大,有原始期权","['3', '5']",4.0,"['10', '15']",11.25
深圳市迈卡网络科技有限公司,迈卡网络,15-50人,不需要融资,南山区,Python开发工程师,1-3年,大专,8k-12k,热招,"['1', '3']",2.0,"['8', '12']",9.0
深圳米筐科技有限公司,米筐 (Ricequant),50-150人,A轮,南山区,Python后台开发/数据平台 资深工程师,5-10年,本科,25K-40K,"量化交易,业内知名,双休,超长年假","['5', '10']",7.5,"['25', '40']",28.75
元一灵通智能科技（深圳）有限公司,元一灵通智能,50-150人,C轮,南山区,Python量化工程师,3-5年,本科,15k-30k,"年终奖,入职购五险,晋升机会高,年度旅游","['3', '5']",4.0,"['15', '30']",18.75
翼果（深圳）科技有限公司,翼果科技,15-50人,天使轮,南山区,Python高级后台工程师(科技园),1-3年,本科,20k-40k,"技术氛围好,数据量大,上升空间大,福利多","['1', '3']",2.0,"['20', '40']",25.0
前海企保科技（深圳）有限公司,前海企保,15-50人,A轮,南山区,Python工程师,3-5年,本科,25k-50k,"薪酬高,福利好,美女多","['3', '5']",4.0,"['25', '50']",31.25
岩心科技（深圳）有限公司,AKULAKU,150-500人,B轮,南山区,高级Python工程师/面向对象高级Python工,3-5年,本科,15k-30k,"数据建模,机器学习,专注专业","['3', '5']",4.0,"['15', '30']",18.75
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,python开发工程师,3-5年,本科,15K-30K,"人工智能,公共安全,上市公司","['3', '5']",4.0,"['15', '30']",18.75
信必优(深圳)信息技术有限公司,Symbio-Freeborders,2000人以上,未融资,罗湖区,高级Python工程师（国信证券-乙方）,5-10年,大专,15k-19k,"双休,年终奖,六险一金,外包","['5', '10']",7.5,"['15', '19']",16.0
百丽电子商务（上海）有限公司,百丽新零售,500-2000人,不需要融资,南山区,Python开发工程师,3-5年,本科,15k-25k,Flask,"['3', '5']",4.0,"['15', '25']",17.5
深圳兆亮照明有限公司,深圳兆亮,150-500人,天使轮,宝安区,Python开发,3-5年,大专,15k-20k,"周末双休,带薪年假,学习机会多,技术大牛","['3', '5']",4.0,"['15', '20']",16.25
